Patch,oracle,prediction,validation
ICSE18/patch1-Lang-51-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Lang-51-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Lang-53-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Lang-53-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Lang-55-Nopol2015.patch,0,1,FALSE
ICSE18/patch1-Lang-57-HDRepair.patch,0,0,TRUE
ICSE18/patch1-Lang-58-Nopol2015.patch,0,1,FALSE
ICSE18/patch1-Lang-58-Nopol2017-plausible.patch,1,0,FALSE
ICSE18/patch1-Math-104-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-105-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-105-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-22-HDRepair-plausible.patch,0,0,TRUE
ICSE18/patch1-Math-24-Nopol2017-plausible.patch,1,0,FALSE
ICSE18/patch1-Math-25-ACS.patch,0,0,TRUE
ICSE18/patch1-Math-28-ACS-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-28-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-28-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-28-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-2-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-2-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-2-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-32-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-33-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-33-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-34-HDRepair.patch,0,0,TRUE
ICSE18/patch1-Math-35-ACS.patch,0,0,TRUE
ICSE18/patch1-Math-39-Nopol2017-plausible.patch,1,0,FALSE
ICSE18/patch1-Math-3-ACS.patch,0,0,TRUE
ICSE18/patch1-Math-40-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-40-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-40-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-41-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-42-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-49-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-4-ACS.patch,0,0,TRUE
ICSE18/patch1-Math-4-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-50-HDRepair-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-50-jGenProg.patch,0,0,TRUE
ICSE18/patch1-Math-50-jKali.patch,0,0,TRUE
ICSE18/patch1-Math-50-Nopol2015.patch,0,0,TRUE
ICSE18/patch1-Math-50-Nopol2017-plausible.patch,1,0,FALSE
ICSE18/patch1-Math-53-HDRepair-plausible.patch,1,0,FALSE
ICSE18/patch1-Math-53-jGenProg.patch,0,0,TRUE
ICSE18/patch1-Math-57-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-57-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-58-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-58-Nopol2017-plausible.patch,1,0,FALSE
ICSE18/patch1-Math-5-ACS.patch,0,0,TRUE
ICSE18/patch1-Math-5-jGenProg.patch,0,0,TRUE
ICSE18/patch1-Math-69-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-70-HDRepair.patch,0,0,TRUE
ICSE18/patch1-Math-70-jGenprog.patch,0,0,TRUE
ICSE18/patch1-Math-71-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-73-ACS-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-73-jGenProg.patch,0,1,FALSE
ICSE18/patch1-Math-73-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-73-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-78-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-78-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-80-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-80-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-81-ACS-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-81-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-81-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-81-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-81-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-82-ACS.patch,0,0,TRUE
ICSE18/patch1-Math-82-HDRepair-plausible.patch,1,0,FALSE
ICSE18/patch1-Math-82-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-82-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-82-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-84-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-84-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-85-ACS.patch,0,0,TRUE
ICSE18/patch1-Math-85-HDRepair-plausible.patch,1,0,FALSE
ICSE18/patch1-Math-85-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-85-Nopol2017-plausible.patch,1,0,FALSE
ICSE18/patch1-Math-87-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-87-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-88-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-88-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-89-ACS.patch,0,0,TRUE
ICSE18/patch1-Math-8-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-8-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-90-ACS.patch,0,0,TRUE
ICSE18/patch1-Math-93-ACS.patch,0,0,TRUE
ICSE18/patch1-Math-95-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-95-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-97-ACS-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-97-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Math-99-ACS.patch,0,0,TRUE
ICSE18/patch1-Time-11-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Time-11-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Time-11-Nopol2015-plausible.patch,1,1,TRUE
ICSE18/patch1-Time-11-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Time-12-Nopol2017-plausible.patch,1,0,FALSE
ICSE18/patch1-Time-14-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Time-15-ACS.patch,0,0,TRUE
ICSE18/patch1-Time-16-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Time-18-Nopol2017-plausible.patch,1,1,TRUE
ICSE18/patch1-Time-19-HDRepair.patch,0,0,TRUE
ICSE18/patch1-Time-19-Nopol2017-plausible.patch,1,0,FALSE
ICSE18/patch1-Time-4-jGenProg-plausible.patch,1,1,TRUE
ICSE18/patch1-Time-4-jKali-plausible.patch,1,1,TRUE
ICSE18/patch1-Time-4-Nopol2017-plausible.patch,1,0,FALSE
ICSE18/patch1-Time-7-Nopol2017-plausible.patch,1,1,TRUE
